year,lon_start,lat_start,lon_end,lat_end,most_eastward_m,rupture_length_m,location_m,min_dist_m,max_dist_m
1939,39.819410136738625,39.63321529482062,36.76103362336241,40.519025565463124,32166.568034125274,364334.71120983944,32166.568034125274,32166.568034125274,396501.2792439647
1943,36.420695993062914,40.77311324835795,33.269076293303286,40.950275302486446,453670.09686561825,362383.7372675381,453670.09686561825,453670.09686561825,816053.8341331563
1944,33.17583310691987,40.96892393976313,31.516104389294973,40.679870061974526,826126.1219766827,189287.3794031426,826126.1219766827,826126.1219766827,1015413.5013798253
1957,31.488131433379948,40.679870061974526,31.11515868784626,40.59595119422945,1018467.0797522168,43448.53796696314,1018467.0797522168,1018467.0797522168,1061915.61771918
1967,31.133807325122948,40.577302556952766,30.3039429663105,40.66122142469784,1060419.6707601808,93594.82343309256,1060419.6707601808,1060419.6707601808,1154014.4941932734
1999,30.24333489516125,40.6682146636766,29.301578712688695,40.733484894145,1160802.260162591,101649.35410748073,1160802.260162591,1160802.260162591,1262451.6142700717
